iter	Passed	Remaining
0	0	53
1	1	50
2	1	49
3	1	45
4	2	45
5	2	44
6	3	44
7	3	43
8	4	43
9	4	42
10	5	42
11	5	41
12	6	41
13	6	40
14	7	40
15	7	39
16	8	39
17	8	38
18	8	38
19	9	37
20	9	37
21	10	36
22	10	36
23	11	35
24	11	35
25	12	34
26	12	34
27	13	33
28	13	33
29	14	33
30	14	32
31	15	32
32	15	31
33	16	31
34	16	30
35	16	30
36	17	29
37	17	29
38	18	28
39	18	28
40	19	27
41	19	27
42	20	26
43	20	26
44	21	25
45	21	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	21
54	25	21
55	26	20
56	27	20
57	27	19
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	30	17
64	31	16
65	32	16
66	32	16
67	33	15
68	33	15
69	34	14
70	34	14
71	35	13
72	35	13
73	36	12
74	36	12
75	37	11
76	38	11
77	38	10
78	39	10
79	39	9
80	40	9
81	40	8
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	43	5
88	44	5
89	45	5
90	45	4
91	46	4
92	46	3
93	47	3
94	47	2
95	48	2
96	48	1
97	49	1
98	49	0
99	50	0
